[1118]:HP(4899),HA(6049),HM(6230),LM(7801),LP(7916),LA(9312)
[1192]:HP(5220),HA(6516),HM(6752),LP(8057),LM(8899),LA(9105)
[602]:HP(2490),HA(3096),HM(3236),LM(3802),LP(3893),LA(4775)
[1191]:HP(5276),HA(6385),HM(6676),LP(8340),LM(9218),LA(9869)
[1907]:HP(8657),HA(10733),HM(11066),LM(13390),LP(15568),LA(16733)
[1267]:HP(5651),HA(6912),HM(7143),LM(9197),LP(9561),LA(11838)
[1522]:HP(6767),HA(8388),HM(8646),LM(11107),LA(12743),LP(13807)
[414]:HP(1677),HA(2077),HM(2155),LM(2590),LP(2985),LA(3252)
[366]:HP(1448),HA(1832),HM(1890),LM(2149),LA(2284),LP(2404)
[1912]:HP(8609),HA(10725),HM(11021),LM(14284),LA(15596),LP(15889)
[1312]:HP(5823),HA(7167),HM(7422),LM(9300),LA(10029),LP(10525)
[1199]:HP(5309),HA(6579),HM(6741),LM(8633),LP(9118),LA(9726)
[655]:HP(2726),HA(3428),HM(3578),LM(4555),LA(4985),LP(5631)
[1565]:HP(7036),HA(8599),HM(8958),LM(11607),LA(12148),LP(12682)
[1461]:HP(6484),HA(8036),HM(8388),LM(10092),LP(11385),LA(11883)
[1356]:HP(6041),HA(7462),HM(7682),LM(9765),LP(11487),LA(11496)
[1027]:HP(4483),HA(5517),HM(5674),LM(6394),LP(7813),LA(8285)
[1208]:HP(2416),HA(4430),HM(4828),LM(8069),LA(11043),LP(732650)
[1883]:HP(8589),HA(10545),HM(10952),LM(14514),LA(15306),LP(15501)
[1013]:HP(2025),HA(3718),HM(4049),LM(6127),LA(7513),LP(515615)
[1330]:HP(5909),HA(7338),HM(7518),LM(9256),LP(10203),LA(11094)
[1925]:HP(8859),HA(10725),HM(11090),LM(14972),LP(15314),LA(17858)
[1914]:HP(8744),HA(10717),HM(11126),LP(14149),LM(15025),LA(18410)
[1140]:HP(4959),HA(6225),HM(6360),LP(8030),LM(8052),LA(9781)
[1264]:HP(5622),HA(6845),HM(7112),LA(9540),LM(9790),LP(10116)
[1486]:HP(6677),HA(8223),HM(8506),LM(11237),LP(11847),LA(12777)
[1473]:HP(6600),HA(8035),HM(8432),LM(10572),LP(11446),LA(13054)
[1777]:HP(8118),HA(9929),HM(10208),LM(13022),LP(14713),LA(15841)
[426]:HP(1741),HA(2139),HM(2213),LM(2432),LP(2861),LA(3332)
[1691]:HP(7594),HA(9407),HM(9734),LM(13171),LP(14164),LA(14241)
[63]:HP(125),HA(228),HM(249),LM(254),LA(440),LP(2140)
[1842]:HP(8343),HA(10340),HM(10598),LM(13701),LP(14385),LA(15461)
[1339]:HP(5982),HA(7328),HM(7609),LM(9107),LP(10235),LA(11254)
[1442]:HP(6460),HA(7899),HM(8214),LM(10350),LA(11818),LP(12701)
[1160]:HP(5047),HA(6280),HM(6524),LM(7959),LA(8473),LP(8541)
[1797]:HP(8189),HA(10079),HM(10390),LM(13125),LP(13833),LA(15885)
[322]:HP(1275),HA(1604),HM(1662),LM(1862),LP(1953),LA(2288)
[1243]:HP(5463),HA(6752),HM(6997),LM(8730),LP(10389),LA(10546)
[11]:HP(31),LM(35),HA(40),HM(44),LP(45),LA(46)
[1904]:HP(8580),HA(10559),HM(10956),LM(13293),LA(16183),LP(18031)
[326]:HP(1292),HA(1634),HM(1683),LP(1769),LM(1918),LA(2395)
[700]:HP(2950),HA(3679),HM(3812),LM(4332),LP(5308),LA(5653)
[1432]:HP(2863),HA(5292),HM(5725),LM(10164),LA(11298),LP(1028890)
[387]:HP(1556),HA(1958),HM(2016),LM(2114),LP(2416),LA(2964)
[57]:HP(195),LM(225),HA(249),HM(262),LP(273),LA(298)
[1130]:HP(4996),HA(6157),HM(6378),LM(8452),LP(9117),LA(9244)
[387]:HP(1556),HA(1967),HM(2026),LM(2269),LP(2740),LA(2796)
[1304]:HP(5762),HA(7073),HM(7334),LM(9231),LP(10264),LA(10472)
[1276]:HP(5619),HA(6932),HM(7210),LM(9065),LA(9509),LP(11064)
[287]:HP(1152),HA(1434),HM(1472),LM(1659),LP(1873),LA(2067)
